Name,Class,Role,Tier,Win %,Role %,Pick %,Ban %,KDA
Qiyana,Assassin,JUNGLE,5,44.03,11.83,0.33,0.94,2.23
Quinn,Marksman,TOP,2,53.27,77.05,,0.60,1.93
Quinn,Marksman,MID,4,51.07,11.07,0.17,0.60,2.29
Rakan,Support,SUPPORT,2,51.54,98.50,3.96,0.22,2.97
Rammus,Tank,JUNGLE,2,51.19,90.80,2.64,8.72,3.13
Rek'Sai,Fighter,JUNGLE,4,48.73,95.43,1.69,0.80,2.44
Rell,Tank,SUPPORT,3,52.22,98.75,2.15,0.38,2.5
Renata Glasc,Support,SUPPORT,2,51.27,99.02,3.67,1.79,2.75
Renekton,Fighter,,2,48.48,82.59,4.44,2.45,1.8
Renekton,Fighter,MID,4,50.87,16.09,0.88,2.45,
Rengar,Assassin,JUNGLE,3,48.70,76.49,3.85,7.52,2.35
Rengar,Assassin,TOP,3,50.26,20.74,1.22,7.52,1.95
Riven,Fighter,TOP,2,49.31,90.85,4.19,1.42,1.9
Rumble,Fighter,MID,3,50.56,43.02,1.22,0.54,2.54
Rumble,Fighter,TOP,4,47.83,42.54,1.06,0.54,
Rumble,Fighter,JUNGLE,5,47.74,11.62,0.34,0.54,2.8
Ryze,Mage,MID,1,50.06,88.06,7.45,4.14,2.47
Ryze,Mage,TOP,3,50.92,10.53,0.90,4.14,2.07
Samira,Marksman,ADC,0,52.01,98.08,11.97,26.31,2.37
Sejuani,Tank,JUNGLE,2,50.69,81.96,4.31,0.91,3.27
Sejuani,Tank,TOP,4,48.97,13.39,0.71,0.91,2.4
Senna,Marksman,,2,49.45,93.15,4.82,1.37,2.54
Seraphine,Mage,SUPPORT,2,49.66,65.53,4.40,1.22,2.49
Seraphine,Mage,MID,4,49.54,11.79,0.69,1.22,2.88
Seraphine,Mage,ADC,4,52.69,22.33,1.19,1.22,2.98
Sett,Fighter,TOP,1,50.30,81.83,7.40,4.49,1.78
Shaco,Assassin,JUNGLE,1,49.55,80.48,5.75,15.81,2.78
