org_dataset,dataset,group,scenario,xgb_score,rfc_score,knn_score
Titanic,Titanic_1,Standaryzacja,Standaryzacja,0.7222222222222222,0.7444444444444445,0.6444444444444445
Titanic,Titanic_1,Standaryzacja,Skalowanie do (0-1),0.7222222222222222,0.7444444444444445,0.5777777777777777
Titanic,Titanic_1,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.703125,0.71875,0.65625
Titanic,Titanic_2,Standaryzacja,Standaryzacja,0.7222222222222222,0.7333333333333333,0.6333333333333333
Titanic,Titanic_2,Standaryzacja,Skalowanie do (0-1),0.7222222222222222,0.7333333333333333,0.5777777777777777
Titanic,Titanic_2,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.71875,0.71875,0.65625
Titanic,Titanic_3,Standaryzacja,Standaryzacja,0.7444444444444445,0.7444444444444445,0.6444444444444445
Titanic,Titanic_3,Standaryzacja,Skalowanie do (0-1),0.7444444444444445,0.7444444444444445,0.5777777777777777
Titanic,Titanic_3,Standaryzacja,Skalowanie (0-1) + usuw. odstających,0.6461538461538462,0.6307692307692307,0.6923076923076923
Titanic,Titanic_1,Kodowanie,Kodowanie wartości kategorycznych,1.0,1.0,0.6111111111111112
Titanic,Titanic_1,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,1.0,0.7
Titanic,Titanic_1,Custom,Custom preprocessing,1.0,1.0,0.8333333333333334
Titanic,Titanic_2,Kodowanie,Kodowanie wartości kategorycznych,1.0,1.0,0.5789473684210527
Titanic,Titanic_2,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,1.0,0.6777777777777778
Titanic,Titanic_2,Custom,Custom preprocessing,1.0,1.0,0.8111111111111111
Titanic,Titanic_3,Kodowanie,Kodowanie wartości kategorycznych,1.0,1.0,0.5789473684210527
Titanic,Titanic_3,Kodowanie,Kod. war. kategorycznych + wyp. brak. średnią,1.0,1.0,0.7
Titanic,Titanic_3,Custom,Custom preprocessing,1.0,1.0,0.8222222222222222
